id,text
1,"Microsoft was founded by Bill Gates and Paul Allen on April 4, 1975."
2,"Barack Obama was born in Honolulu, Hawaii."
3,"Google is headquartered in Mountain View, California."
4,"Steve Jobs served as the CEO of Apple."
5,"The United Nations was established in 1945 to promote international cooperation."
6,"Elon Musk founded SpaceX and Tesla."
7,"Amazon's headquarters is located in Seattle."
8,"J.K. Rowling grew up in Yate, South Gloucestershire."
9,"IBM acquired Red Hat in 2019."
10,"Mount Everest is located in Nepal."
11,"Tim Cook is the top executive at Apple."
12,"Bill Gates studied at Harvard University."
13,"The Eiffel Tower is located in Paris, France."
14,"Mark Zuckerberg is married to Priscilla Chan."
15,"The headquarters of Sony is in Tokyo, Japan."
16,"Nelson Mandela passed away on December 5, 2013."
17,"Walt Disney Company was founded in 1923 by Walt Disney and Roy O. Disney."
18,"Google has offices in New York, London, and Zurich."
19,"Sheryl Sandberg served as COO of Facebook."
20,"The World Health Organization was created by the United Nations in 1948."
21,"Jeff Bezos founded Amazon in 1994."
22,"Tesla, Inc. is headquartered in Palo Alto, California."
23,"Barack Obama attended Harvard Law School."
24,"Queen Elizabeth II was born in London."
25,"Michael Jordan has three children."
26,"IBM employs thousands of engineers worldwide."
27,"The headquarters of Toyota is located in Aichi Prefecture, Japan."
28,"Facebook has multiple shareholders including venture capital firms."
29,"Steve Wozniak co-founded Apple with Steve Jobs."
30,"Google's website is www.google.com."
31,"Albert Einstein died of natural causes on April 18, 1955."
32,"Oprah Winfrey grew up in Kosciusko, Mississippi."
33,"The headquarters of Intel is in Santa Clara, California."
34,"Barack Obama served as the President of the United States."
35,"Elon Musk is originally from South Africa."
36,"The Smith family includes John, Mary, and their children."
37,"The parents of Princess Diana were John Spencer and Frances Spencer."
38,"Dalai Lama practices Tibetan Buddhism."
39,"Emma Watson attended Brown University and the University of Oxford."
40,"Prince William has one sibling, Prince Harry."
41,"Michelle Obama is married to Barack Obama."
42,"Barack Obama was born in the state of Hawaii."
43,"Walt Disney passed away in California."
44,"The residents of California include people from many backgrounds."
45,"Tim Berners-Lee was awarded the title Sir in the United Kingdom."
46,"Facebook has no alternate names."
47,"The city of headquarters of Boeing is Chicago."
48,"Microsoft's country of headquarters is the United States."
49,"Pan American Airways dissolved in 1991."
50,"Apple was founded in 1976."
51,"Apple was founded by Steve Jobs and Steve Wozniak."
52,"IBM is a member of the Linux Foundation."
53,"Linux Foundation has IBM as a member."
54,"Amazon has 1,298,000 employees worldwide."
55,"Sony's parent company is Sony Corporation."
56,"The Republican Party has political affiliation in the United States."
57,"Apple has multiple shareholders."
58,"Apple's state or province of headquarters is California."
59,"Alphabet has multiple subsidiaries including Google."
60,"Apple's top members include Tim Cook."
61,"Google's website is www.google.com."
62,"Jeff Bezos is 57 years old."
63,"Richard Branson has several alternate names."
64,"Princess Diana's cause of death was a car crash."
65,"O.J. Simpson faced multiple criminal charges."
66,"Barack Obama has two daughters."
67,"Madonna has lived in London and New York."
68,"Barack Obama was born in Honolulu."
69,"Abraham Lincoln died in Washington D.C."
70,"Angela Merkel has resided in Berlin and Hamburg."
71,"Justin Trudeau was born in Ottawa, Canada."
72,"Marie Curie died in France."
73,"Albert Einstein was born in Ulm, Germany."
74,"Barack Obama worked for the United States government."
75,"Shakira is originally from Colombia."
76,"Kim Kardashian has other family members in Los Angeles."
77,"Prince Charles's parents are Queen Elizabeth II and Prince Philip."
78,"The Dalai Lama practices Buddhism."
79,"Emma Watson attended universities in the United States and UK."
80,"Prince Harry has one sibling, Prince William."
81,"Barack Obama is married to Michelle Obama."
82,"Barack Obama was born in Hawaii."
83,"Martin Luther King Jr. died in Tennessee."
84,"People have resided in California for generations."
85,"Tim Berners-Lee received the title Sir from the UK."
86,"Facebook is also known as Meta."
87,"Boeing's city of headquarters is Chicago."
88,"Microsoft's country of headquarters is the United States."
89,"Pan Am dissolved in 1991."
90,"Apple was founded in 1976."
91,"Apple was founded by Steve Jobs and Steve Wozniak."
92,"IBM is a member of the Linux Foundation."
93,"Linux Foundation includes IBM as a member."
94,"Amazon has 1,298,000 employees globally."
95,"Sony's parent company is Sony Corporation."
96,"Republican Party has political affiliation in the USA."
97,"Apple has several shareholders."
98,"Apple's state or province of headquarters is California."
99,"Alphabet owns subsidiaries including Google."
100,"Apple's top members include Tim Cook."
